"Category","Name","Manufacturer","Scheme","Assurance Level","Protection Profile(s)","Certification Date","Archived Date","Certification Report URL","Security Target URL","Maintenance Date","Maintenance Title","Maintenance Report","Maintenance ST"
"Access Control Devices and Systems","Hitachi Virtual Storage Platform G1000, Hitachi Virtual Storage Platform VX7 Control Program 80-01-25-00/00(R8-01A-06_Z)","Hitachi, Ltd.","JP","EAL2+,ALC_FLR.1","","06/06/2016","","http://www.commoncriteriaportal.org:80/files/epfiles/c0514_erpt.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/c0514_est.pdf","","","",""
"Access Control Devices and Systems","Hitachi Unified Storage VM Control Program 73-03-09-00/00(H7-03-10_Z)","Hitachi, Ltd.","JP","EAL2+,ALC_FLR.1","","06/01/2016","","http://www.commoncriteriaportal.org:80/files/epfiles/c0513_erpt.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/c0513_est.pdf","","","",""
"Access Control Devices and Systems","Huawei OceanStor T&SX900 Series Storage System Software, version V100R005C30SPC300","Huawei Technologies Co. Ltd.","ES","EAL3+,ALC_CMC.4,ALC_CMS.4","","05/27/2016","","http://www.commoncriteriaportal.org:80/files/epfiles/2013-20 INF-1591.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/2013-20 Security Target v3.5.pdf","","","",""
"Access Control Devices and Systems","TightGate-Pro (CC) Version 1.4","m-privacy GmbH","DE","EAL3+,ALC_CMS.4,ALC_FLR.3","RECOBS_V1.0","12/02/2015","12/02/2020","http://www.commoncriteriaportal.org:80/files/epfiles/0589a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0589b_pdf.pdf","","","",""
"Access Control Devices and Systems","SAMSUNG SDS FIDO Server Solution V1.1","Samsung SDS","KR","EAL2","","09/10/2015","","http://www.commoncriteriaportal.org:80/files/epfiles/KECS-CR-15-73 SAMSUNG SDS FIDO Server Solution V1.1(eng).pdf","http://www.commoncriteriaportal.org:80/files/epfiles/SDS FIDO V1.1-ASE-V2.0_Lite_Eng.pdf","","","",""
"Access Control Devices and Systems","Oracle Identity Manager 11g Release 2","Oracle Corporation","US","None","PP_ESM_ICM_V2.1","08/28/2015","","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid10589-vr.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/st_vid10589-st.pdf","","","",""
"Access Control Devices and Systems","Citrix XenApp 7.6 Platinum Edition","Citrix Systems, Inc.","UK","EAL2+,ALC_FLR.2","","03/19/2015","03/19/2020","http://www.commoncriteriaportal.org:80/files/epfiles/CRP282 v1.0 Final (NWA).pdf","http://www.commoncriteriaportal.org:80/files/epfiles/XenApp7-STv1-0.pdf","","","",""
"Access Control Devices and Systems","Citrix XenDesktop 7.6 Platinum Edition","Citrix Systems, Inc.","UK","EAL2+,ALC_FLR.2","","03/19/2015","03/19/2020","http://www.commoncriteriaportal.org:80/files/epfiles/CRP281 v1.0 Final (NWA).pdf","http://www.commoncriteriaportal.org:80/files/epfiles/XenDesktop7-STv1-0.pdf","","","",""
"Access Control Devices and Systems","IBM Security Access Manager for Enterprise Single Sign-On Version 8.2","IBM Corporation","DE","EAL3+,ALC_FLR.1","","12/05/2014","","http://www.commoncriteriaportal.org:80/files/epfiles/0683a_pdf.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/0683b_pdf.pdf","","","",""
"Access Control Devices and Systems","NetIQ Access Manager 4.0","NetIQ Corporation","SE","EAL3,ALC_FLR.1","","09/17/2014","","http://www.commoncriteriaportal.org:80/files/epfiles/Certification Report NetIQ Access manager 4.0_0-2_13FMV9733-39.pdf","http://www.commoncriteriaportal.org:80/files/epfiles/NetIQ Access Manager EAL3 ST v1-13.pdf(225842)_TMP.pdf","","","",""
